user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
ERR4301269bin.7	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Galligastranaerophilus_A;s__Galligastranaerophilus_A intestinigallinarum	GCA_018715855.1	95.0	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Galligastranaerophilus_A;s__Galligastranaerophilus_A intestinigallinarum	98.63	0.902	GCA_018715855.1	95.0	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Galligastranaerophilus_A;s__Galligastranaerophilus_A intestinigallinarum	98.63	0.902	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Galligastranaerophilus_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944325145.1, s__Galligastranaerophilus_A sp944325145, 95.0, 91.88, 0.779; GCA_944325175.1, s__Galligastranaerophilus_A sp944325175, 95.0, 88.1, 0.499; GCA_944324425.1, s__Galligastranaerophilus_A sp944324425, 95.0, 87.99, 0.569	86.47	11	N/A	N/A
ERR4303136bin.34	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus faecipullorum	GCA_019112675.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus faecipullorum	98.13	0.948	GCA_019112675.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus faecipullorum	98.13	0.948	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019423685.1, s__Negativibacillus sp019423685, 95.0, 83.82, 0.179	96.81	11	N/A	N/A
ERR4303137bin.12	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1781;s__UMGS1781 sp944392385	GCA_944392385.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1781;s__UMGS1781 sp944392385	98.91	0.878	GCA_944392385.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1781;s__UMGS1781 sp944392385	98.91	0.878	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1781;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944390405.1, s__UMGS1781 sp944390405, 95.0, 85.33, 0.188	43.65	11	N/A	N/A
ERR4303137bin.30	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Faecisoma;s__Faecisoma sp944371305	GCA_944371305.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Faecisoma;s__Faecisoma sp944371305	98.86	0.843	GCA_944371305.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Faecisoma;s__Faecisoma sp944371305	98.86	0.843	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Faecisoma;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	81.78	11	N/A	N/A
ERR4303137bin.34	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__UMGS2069;s__UMGS2069 sp900557695	GCA_900557695.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__UMGS2069;s__UMGS2069 sp900557695	98.18	0.899	GCA_900557695.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__UMGS2069;s__UMGS2069 sp900557695	98.18	0.899	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__UMGS2069;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	84.61	11	N/A	N/A
ERR4303137bin.35	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum intestinipullorum	GCA_019117485.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum intestinipullorum	97.25	0.887	GCA_019117485.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum intestinipullorum	97.25	0.887	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944384725.1, s__Agathobaculum sp944384725, 95.0, 83.17, 0.19; GCA_944384695.1, s__Agathobaculum sp944384695, 95.0, 82.87, 0.162; GCA_019421385.1, s__Agathobaculum sp019421385, 95.0, 84.01, 0.171; GCF_900625105.1, s__Agathobaculum sp900625105, 95.0, 84.14, 0.203; GCA_944384735.1, s__Agathobaculum sp944384735, 95.0, 86.99, 0.427; GCA_019115085.1, s__Agathobaculum pullicola, 95.0, 82.45, 0.162; GCA_019115185.1, s__Agathobaculum merdipullorum, 95.0, 84.12, 0.223; GCA_944380975.1, s__Agathobaculum sp944380975, 95.0, 82.68, 0.157; GCA_944376955.1, s__Agathobaculum sp944376955, 95.0, 84.52, 0.155; GCA_019115615.1, s__Agathobaculum merdavium, 95.0, 85.7, 0.249	99.1	11	N/A	N/A
ERR4303138bin.28	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Avoscillospira;s__Avoscillospira stercoripullorum	GCA_018712905.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Avoscillospira;s__Avoscillospira stercoripullorum	97.22	0.784	GCA_018712905.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Avoscillospira;s__Avoscillospira stercoripullorum	97.22	0.784	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Avoscillospira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	92.0	11	N/A	N/A
ERR4303138bin.37	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Coprenecus;s__Coprenecus stercorigallinarum	GCA_018711305.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Coprenecus;s__Coprenecus stercorigallinarum	98.61	0.831	GCA_018711305.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Coprenecus;s__Coprenecus stercorigallinarum	98.61	0.831	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Coprenecus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944322575.1, s__Coprenecus sp944322575, 95.0, 84.35, 0.16; GCA_900550465.1, s__Coprenecus sp900550465, 95.0, 85.93, 0.198; GCA_018712275.1, s__Coprenecus avistercoris, 95.0, 86.02, 0.205; GCA_000432775.1, s__Coprenecus sp000432775, 95.0, 90.54, 0.322; GCA_944326235.1, s__Coprenecus sp944326235, 95.04, 85.3, 0.185; GCA_963931615.1, s__Coprenecus sp902388455, 95.0, 85.2, 0.156	77.78	11	N/A	N/A
ERR4303139bin.27	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hominenteromicrobium;s__Hominenteromicrobium gallistercoris	GCA_019119145.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hominenteromicrobium;s__Hominenteromicrobium gallistercoris	98.52	0.942	GCA_019119145.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hominenteromicrobium;s__Hominenteromicrobium gallistercoris	98.52	0.942	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hominenteromicrobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902472305.1, s__Hominenteromicrobium sp900549945, 95.0, 88.19, 0.442; GCA_002305575.1, s__Hominenteromicrobium sp002305575, 95.0, 82.78, 0.155	98.5	11	N/A	N/A
ERR4303140bin.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Coprocola;s__Coprocola pullicola	GCA_018715395.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Coprocola;s__Coprocola pullicola	99.58	0.894	GCA_018715395.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Coprocola;s__Coprocola pullicola	99.58	0.894	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Coprocola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	97.84	11	N/A	N/A
